,name,urls
483,"28/08/2014 :: B.Tech I Semester Supplementary 
		(R-2013) Result, June 2014", http://gvpce.ac.in/results/BTechISemSupply(R2013)-June2014/btechsearch.asp
484,"25/08/2014 :: B.Tech I Semester Supplementary 
		(R-2012) Result, June 2014", http://gvpce.ac.in/results/BTechISemSupply(R2012)-June2014/btechsearch.asp
485,"23/08/2014 :: B.Tech II Semester Supplementary 
		(R-2009) Result, June 2014", http://gvpce.ac.in/results/BTechIISemSupply(R2009)-June2014/btechsearch.asp
486,"21/08/2014 :: B.Tech II Semester Supplementary 
		(R-2012) Result, June 2014", http://gvpce.ac.in/results/BTechIISemSupply(R2012)-June2014/btechsearch.asp
487,"21/08/2014 :: B.Tech I Semester Supplementary 
		(R-2009) Result, June 2014", http://gvpce.ac.in/results/BTechISemSupply(R2009)-June2014/btechsearch.asp
488,"21/08/2014 :: B.Tech III Semester Supplementary 
		(R-2012) Result, June 2014", http://gvpce.ac.in/results/BTechIIISemSupply(R2012)-June2014/btechsearch.asp
489,"18/08/2014 :: B.Tech III Semester Supplementary 
		(R-2009) Result, June 2014", http://gvpce.ac.in/results/BTechIIISemSupply-June2014/btechsearch.asp
490,"14/08/2014 :: B.Tech II Semester Regular (R-2013) 
		Result, June 2014", http://gvpce.ac.in/results/BTechIISemReg-June2014/btechsearch.asp
491,"13/08/2014 :: B.Tech IV Semester Supplementary 
		(R-2009) Result, June 2014", http://gvpce.ac.in/results/BTechIVSemSupply-June2014/btechsearch.asp
492,"13/08/2014 :: B.Tech IV Semester Regular (R-2012) 
		Result, June 2014", http://gvpce.ac.in/results/BTechIVSemReg-June2014/btechsearch.asp
493,"08/08/2014 :: M.Tech I Semester Regular (R-2013) 
		Revaluation Result, February 2014", http://gvpce.ac.in/results/MTechISemRegRev(R-2013)-Feb2014/mtechsearch.asp
494,"06/08/2014 :: B.Tech V Semester Supplementary 
		Result, May 2014", http://gvpce.ac.in/results/BTechVSemSupply-May2014/btechsearch.asp
495,"24/07/2014 :: B.Tech VI Semester Supplementary 
		Result, May 2014", http://gvpce.ac.in/results/BTechVISemSupply-May2014/btechsearch.asp
496,"24/07/2014 :: B.Tech VI Semester Regular Result, 
		July 2014", http://gvpce.ac.in/results/BTechVISemRegJuly2014/btechsearch.asp
497,"18/07/2014 :: B.Tech VII Semester Supply 
		Revaluation Results - May 2014", http://gvpce.ac.in/results/BTechVIIsemester(S)_May%202014Rev/btechsearch.asp
498,"18/07/2014 :: B.Tech VIII Semester Regular &amp; 
		Supply Revaluation Results - May 2014", http://gvpce.ac.in/results/BTechVIIIsemester(R&S)_May%202014Rev/btechsearch.asp
499,"26/06/2014 :: M.Tech I Semester Regular Result 
		(R-2013), February 2014", http://gvpce.ac.in/results/MTechISemReg(R-2013)-Feb2014/mtechsearch.asp
500,"14/06/2014 :: B.Tech III Semester Supplementary 
		Revaluation Result (R-2009), February 2014", http://gvpce.ac.in/results/BTechIIISemSupplyRev(R-2009)-Feb2014/btechsearch.asp
501,"14/06/2014 :: B.Tech III Semester Regular 
		Revaluation Result (R-2012), February 2014", http://gvpce.ac.in/results/BTechIIISemRegRev(R-2012)-Feb2014/btechsearch.asp
502,"14/06/2014 :: B.Tech II Semester Supplementary 
		Revaluation Result (R-2012), February 2014", http://gvpce.ac.in/results/BTechIISemSupplyRev(R-2012)-Feb2014/btechsearch.asp
503,"14/06/2014 :: B.Tech II Semester Supplementary 
		Revaluation Result (R-2009), February 2014", http://gvpce.ac.in/results/BTechIISemSupplyRev(R-2009)-Feb2014/btechsearch.asp
504,"14/06/2014 :: B.Tech I Semester Supplementary 
		Revaluation Result (R-2012), February 2014", http://gvpce.ac.in/results/BTechISemSupplyRev(R-2012)-Feb2014/btechsearch.asp
505,"14/06/2014 :: B.Tech I Semester Supplementary 
		Revaluation Result (R-2009), February 2014", http://gvpce.ac.in/results/BTechISemSupplyRev(R-2009)-Feb2014/btechsearch.asp
506,"14/06/2014 :: B.Tech I Semester Regular 
		Revaluation Result (R-2013), February 2014", http://gvpce.ac.in/results/BTechISemRegRev(R-2013)-Feb2014/btechsearch.asp
507,"10/06/2014 :: MCA I Semester Regular Result 
		(R-2013), February 2014", http://gvpce.ac.in/results/MCAISemReg-Feb2014/btechsearch.asp
508,"10/06/2014 :: MCA I Semester Supplementary Result, 
		February 2014", http://gvpce.ac.in/results/MCAISemSupply-Feb2014/btechsearch.asp
